stress,L,phi,collapse_prob,tau,n_seeds,chi,phi_var,cv,variant,experiment,topology,source,x_scaled,y_scaled
1.06,200,0.99675,0.0051375,,20,0.0051375,2.568750000000004e-05,0.00508480936361,baseline,micro_rule,chain,grid,52.0,69.08921224148924
1.08,200,0.997,0.0062,,20,0.0062,3.100000000000006e-05,0.0055845179165797,baseline,micro_rule,chain,grid,56.00000000000001,69.10654086256812
1.1,200,0.998,0.0037,,20,0.0037,1.850000000000003e-05,0.0043097821979171,baseline,micro_rule,chain,grid,60.00000000000001,69.17585534688364
1.12,200,0.99675,0.0041375,,20,0.0041375,2.0687500000000032e-05,0.004563181690158,baseline,micro_rule,chain,grid,64.00000000000001,69.08921224148924
1.14,200,0.99725,0.0057375,,20,0.0057375,2.8687500000000057e-05,0.005370841134527,baseline,micro_rule,chain,grid,67.99999999999997,69.123869483647
1.16,200,0.9985,0.00305,,20,0.00305,1.5250000000000028e-05,0.0039109913249407,baseline,micro_rule,chain,grid,71.99999999999997,69.2105125890414
1.18,200,0.999,0.0013,,20,0.0013,6.500000000000012e-06,0.002552061818615,baseline,micro_rule,chain,grid,75.99999999999997,69.24516983119915
1.2,200,0.9995,0.00095,,20,0.00095,4.750000000000007e-06,0.0021805397416411,baseline,micro_rule,chain,grid,79.99999999999999,69.27982707335691
0.8,400,0.9471249999999998,0.0843187499999998,,20,0.0843187499999998,0.0002107968749999,0.0153293868411819,baseline,micro_rule,chain,grid,0.0,114.30238525500675
0.82,400,0.9525000000000002,0.0677500000000001,,20,0.0677500000000001,0.000169375,0.0136634279105725,baseline,micro_rule,chain,grid,7.999999999999963,114.95105921118542
0.84,400,0.961,0.0681000000000001,,20,0.0681000000000001,0.00017025,0.0135775112910508,baseline,micro_rule,chain,grid,15.99999999999997,115.97686918839807
0.86,400,0.96625,0.050375,,20,0.050375,0.0001259375,0.0116141659443536,baseline,micro_rule,chain,grid,23.99999999999998,116.61045770373532
0.88,400,0.974125,0.0408187500000001,,20,0.0408187500000001,0.000102046875,0.0103701530400179,baseline,micro_rule,chain,grid,31.999999999999986,117.56084047674118
0.9,400,0.978625,0.02336875,,20,0.02336875,5.842187500000002e-05,0.0078103669670253,baseline,micro_rule,chain,grid,39.99999999999999,118.10391634703024
0.92,400,0.9816250000000002,0.02406875,,20,0.02406875,6.017187500000008e-05,0.0079022572184389,baseline,micro_rule,chain,grid,48.0,118.46596692722296
0.94,400,0.985375,0.01856875,,20,0.01856875,4.642187500000002e-05,0.0069144843713873,baseline,micro_rule,chain,grid,55.99999999999996,118.91853015246383
0.96,400,0.9900000000000002,0.01925,,20,0.01925,4.8125000000000086e-05,0.007007291376521,baseline,micro_rule,chain,grid,63.99999999999997,119.47669146359429
0.98,400,0.991,0.01385,,20,0.01385,3.462500000000007e-05,0.0059377408153076,baseline,micro_rule,chain,grid,71.99999999999997,119.59737499032516
1.0,400,0.993,0.0076499999999999,,20,0.0076499999999999,1.9124999999999977e-05,0.0044040422166505,baseline,micro_rule,chain,grid,79.99999999999999,119.83874204378697
1.02,400,0.995875,0.0080687499999999,,20,0.0080687499999999,2.017187499999997e-05,0.0045099144529237,baseline,micro_rule,chain,grid,87.99999999999999,120.18570718313832
1.04,400,0.997,0.0053999999999999,,20,0.0053999999999999,1.349999999999999e-05,0.0036852904856316,baseline,micro_rule,chain,grid,96.0,120.32147615071058
1.06,400,0.99775,0.0029749999999999,,20,0.0029749999999999,7.4374999999999165e-06,0.0027333280166964,baseline,micro_rule,chain,grid,104.0,120.41198879575876
1.08,400,0.998125,0.0024687499999999,,20,0.0024687499999999,6.171874999999932e-06,0.0024889927256545,baseline,micro_rule,chain,grid,112.00000000000001,120.45724511828286
1.1,400,0.99775,0.0032249999999999,,20,0.0032249999999999,8.062499999999923e-06,0.0028458573519419,baseline,micro_rule,chain,grid,120.00000000000001,120.41198879575876
1.12,400,0.99925,0.0020249999999999,,20,0.0020249999999999,5.062499999999935e-06,0.0022516887665749,baseline,micro_rule,chain,grid,128.00000000000003,120.59301408585512
1.14,400,0.99875,0.0013749999999999,,20,0.0013749999999999,3.4374999999999773e-06,0.0018563700843793,baseline,micro_rule,chain,grid,135.99999999999994,120.53267232248967
1.16,400,0.99875,0.0016249999999999,,20,0.0016249999999999,4.062499999999938e-06,0.0020180870458819,baseline,micro_rule,chain,grid,143.99999999999994,120.53267232248967
1.18,400,0.9992500000000002,0.0015249999999999,,20,0.0015249999999999,3.8124999999999593e-06,0.0019540279399316,baseline,micro_rule,chain,grid,151.99999999999994,120.59301408585515
1.2,400,0.999625,0.0010687499999999,,20,0.0010687499999999,2.671874999999966e-06,0.0016352003039417,baseline,micro_rule,chain,grid,159.99999999999997,120.6382704083792
0.8,800,0.95275,0.143325,,20,0.143325,0.00017915625,0.0140487286519874,baseline,micro_rule,chain,grid,0.0,200.1939492516552
0.82,800,0.9588124999999998,0.0749343750000001,,20,0.0749343750000001,9.366796875000018e-05,0.0100939666128012,baseline,micro_rule,chain,grid,15.999999999999925,201.46781523679098
0.84,800,0.9651875,0.0565343749999997,,20,0.0565343749999997,7.06679687499997e-05,0.0087096281859218,baseline,micro_rule,chain,grid,31.99999999999994,202.80734441703694
0.86,800,0.9704375,0.0502843749999999,,20,0.0502843749999999,6.285546874999999e-05,0.0081696596559891,baseline,micro_rule,chain,grid,47.99999999999996,203.91048609488652
0.88,800,0.9778750000000004,0.0235125,,20,0.0235125,2.939062500000011e-05,0.0055439725021606,baseline,micro_rule,chain,grid,63.99999999999997,205.47327013850685
0.9,800,0.9819375,0.0323093749999999,,20,0.0323093749999999,4.038671874999999e-05,0.0064719542565296,baseline,micro_rule,chain,grid,79.99999999999999,206.326891674938
0.92,800,0.9838125,0.0391843750000002,,20,0.0391843750000002,4.898046875000032e-05,0.0071137587412916,baseline,micro_rule,chain,grid,96.0,206.72087084559854
0.94,800,0.9870624999999998,0.022284375,,20,0.022284375,2.7855468750000065e-05,0.0053470049094018,baseline,micro_rule,chain,grid,111.99999999999991,207.4037680747435
0.96,800,0.9889374999999998,0.0359093750000001,,20,0.0359093750000001,4.488671875000016e-05,0.0067747002476113,baseline,micro_rule,chain,grid,127.99999999999994,207.79774724540405
0.98,800,0.99175,0.0178,,20,0.0178,2.225000000000009e-05,0.0047562294590656,baseline,micro_rule,chain,grid,143.99999999999994,208.38871600139495
1.0,800,0.9939374999999998,0.017284375,,20,0.017284375,2.160546875000012e-05,0.0046765197228581,baseline,micro_rule,chain,grid,159.99999999999997,208.84835836716556
1.02,800,0.9954375,0.007534375,,20,0.007534375,9.417968750000034e-06,0.0030829368235552,baseline,micro_rule,chain,grid,175.99999999999997,209.16354170369405
1.04,800,0.996,0.0104499999999999,,20,0.0104499999999999,1.3062499999999987e-05,0.0036287229655624,baseline,micro_rule,chain,grid,192.0,209.2817354548922
1.06,800,0.9975,0.005875,,20,0.005875,7.343750000000076e-06,0.002716727241689,baseline,micro_rule,chain,grid,208.0,209.59691879142068
1.08,800,0.99775,0.004325,,20,0.004325,5.406250000000042e-06,0.0023303777546652,baseline,micro_rule,chain,grid,224.00000000000003,209.64944934750875
1.1,800,0.9975625,0.0035593749999999,,20,0.0035593749999999,4.449218749999996e-06,0.0021144711522694,baseline,micro_rule,chain,grid,240.00000000000003,209.6100514304427
1.12,800,0.998875,0.0027375,,20,0.0027375,3.4218750000000285e-06,0.0018519144771554,baseline,micro_rule,chain,grid,256.00000000000006,209.88583684990508
1.14,800,0.9989375,0.0022843749999999,,20,0.0022843749999999,2.8554687499999957e-06,0.0016916105655503,baseline,micro_rule,chain,grid,271.9999999999999,209.89896948892712
1.16,800,0.9991875,0.002159375,,20,0.002159375,2.69921875000001e-06,0.0016442658945511,baseline,micro_rule,chain,grid,287.9999999999999,209.9515000450152
1.18,800,0.999625,0.0010125,,20,0.0010125,1.2656250000000212e-06,0.0011254220332624,baseline,micro_rule,chain,grid,303.9999999999999,210.04342851816932
1.2,800,0.999125,0.0020125,,20,0.0020125,2.515625000000002e-06,0.0015874612211246,baseline,micro_rule,chain,grid,319.99999999999994,209.93836740599318
0.8,1600,0.9572187500000002,0.0864671874999998,,20,0.0864671874999998,5.404199218749992e-05,0.0076798807791435,baseline,micro_rule,chain,grid,0.0,350.1927761396485
0.82,1600,0.96359375,0.0604921875,,20,0.0604921875,3.780761718750003e-05,0.0063811018867556,baseline,micro_rule,chain,grid,31.99999999999985,352.5250319044778
0.84,1600,0.9709062500000002,0.0730296874999998,,20,0.0730296874999998,4.564355468749989e-05,0.0069584487513905,baseline,micro_rule,chain,grid,63.99999999999988,355.20026645825277
0.86,1600,0.97640625,0.0558046874999999,,20,0.0558046874999999,3.48779296875e-05,0.0060484597957282,baseline,micro_rule,chain,grid,95.99999999999991,357.21240868673294
0.88,1600,0.978125,0.0415000000000001,,20,0.0415000000000001,2.5937500000000105e-05,0.0052067856325785,baseline,micro_rule,chain,grid,127.99999999999994,357.841203133133
0.9,1600,0.9825625,0.0514937499999998,,20,0.0514937499999998,3.218359374999991e-05,0.0057737381475758,baseline,micro_rule,chain,grid,159.99999999999997,359.464636067475
0.92,1600,0.9865625,0.0467187499999997,,20,0.0467187499999997,2.9199218749999857e-05,0.0054772304294553,baseline,micro_rule,chain,grid,192.0,360.92801223364245
0.94,1600,0.98790625,0.0203296875,,20,0.0203296875,1.2706054687500012e-05,0.0036081918989358,baseline,micro_rule,chain,grid,223.99999999999983,361.4196151644643
0.96,1600,0.99140625,0.0216171874999998,,20,0.0216171874999998,1.3510742187499909e-05,0.0037075579764108,baseline,micro_rule,chain,grid,255.9999999999999,362.70006930986085
0.98,1600,0.9926875,0.0120687499999999,,20,0.0120687499999999,7.542968749999983e-06,0.0027666778999836,baseline,micro_rule,chain,grid,287.9999999999999,363.1688069880863
1.0,1600,0.9941875,0.01531875,,20,0.01531875,9.57421875000004e-06,0.0031123137724238,baseline,micro_rule,chain,grid,319.99999999999994,363.71757305039915
1.02,1600,0.9960312500000004,0.0083296875,,20,0.0083296875,5.206054687500022e-06,0.0022907695336205,baseline,micro_rule,chain,grid,351.99999999999994,364.39209800199205
1.04,1600,0.99640625,0.0092421875000001,,20,0.0092421875000001,5.77636718750007e-06,0.0024120758093239,baseline,micro_rule,chain,grid,384.0,364.52928951757013
1.06,1600,0.99690625,0.0057796875,,20,0.0057796875,3.6123046875000576e-06,0.0019065046486987,baseline,micro_rule,chain,grid,416.0,364.7122115383411
1.08,1600,0.99846875,0.0044046874999999,,20,0.0044046874999999,2.7529296874999978e-06,0.0016617400334835,baseline,micro_rule,chain,grid,448.00000000000006,365.28384285325023
1.1,1600,0.99846875,0.0025296874999999,,20,0.0025296874999999,1.5810546874999955e-06,0.001259328317657,baseline,micro_rule,chain,grid,480.00000000000006,365.28384285325023
1.12,1600,0.99865625,0.0033296875,,20,0.0033296875,2.0810546875000183e-06,0.0014445271943654,baseline,micro_rule,chain,grid,512.0000000000001,365.35243861103936
1.14,1600,0.9985000000000002,0.0035875,,20,0.0035875,2.242187500000012e-06,0.0014996430333889,baseline,micro_rule,chain,grid,543.9999999999998,365.2952754795485
1.16,1600,0.9995,0.0009124999999999,,20,0.0009124999999999,5.703124999999756e-07,0.0007555681574283,baseline,micro_rule,chain,grid,575.9999999999998,365.6611195210903
1.18,1600,0.99953125,0.0009921874999999,,20,0.0009921874999999,6.201171874999736e-07,0.0007878445001315,baseline,micro_rule,chain,grid,607.9999999999998,365.67255214738844
1.2,1600,0.99946875,0.0010796874999999,,20,0.0010796874999999,6.748046874999712e-07,0.0008219015994806,baseline,micro_rule,chain,grid,639.9999999999999,365.64968689479207
